date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-08 13:00:00,23.4238644859499,24.093395042277,32.7835481940627,13,2,Winter,27.9,20.62,52.35
2023-02-08 14:00:00,26.622020115988,27.5220463797749,36.6816821277334,14,2,Winter,29.3,20.71,51.88
2023-02-08 15:00:00,27.8664280672636,24.7940869818726,37.5138386376282,15,2,Winter,29.3,14.66,61.63
2023-02-08 16:00:00,24.4855603750347,28.533012792904,36.5204081495911,16,2,Winter,28.4,8.5,77.08
2023-02-08 17:00:00,19.2463616696687,26.0388053991611,33.1912491632476,17,2,Winter,24.9,7.17,80.9
2023-02-08 18:00:00,23.6729043340209,28.8627301878743,36.7250585193162,18,2,Winter,29.5,5.84,89.89
2023-02-08 19:00:00,27.0894845455653,31.4237750120979,39.6121159401807,19,2,Winter,32.4,4.6,97.48
2023-02-08 20:00:00,32.0427393239413,34.7795942523432,44.3946359803531,20,2,Winter,37.3,3.53,99.9
2023-02-08 21:00:00,30.4240601954096,33.9141715757771,43.0850566846146,21,2,Winter,35.7,2.81,99.9
2023-02-08 22:00:00,30.8018626240478,34.1096758683201,43.9081375665076,22,2,Winter,34.7,2.12,99.9
2023-02-08 23:00:00,30.6980237716769,34.5443506388615,44.496777525462,23,2,Winter,34.5,1.58,99.9
2023-02-09 00:00:00,27.4351826455802,33.293730874612,42.0025872940174,0,2,Winter,32.8,1.05,99.9
2023-02-09 01:00:00,27.0602313599355,33.5169381114003,41.7606716556711,1,2,Winter,30.7,0.54,99.9
2023-02-09 02:00:00,29.0916703748602,34.6044351178082,43.7991697858009,2,2,Winter,35.3,0.26,99.9
2023-02-09 03:00:00,22.6521755817229,31.0776161404042,38.1754086592256,3,2,Winter,27.3,-0.08,99.9
2023-02-09 04:00:00,20.6022211541257,30.1838788433712,37.1987511020524,4,2,Winter,25.5,-0.43,99.9
2023-02-09 05:00:00,21.6212409196079,30.531080315572,37.2768473532815,5,2,Winter,25.0,-0.82,99.9
